index,angle_q214_signed,sin_q214_signed,cos_q214_signed,cycle
100,-23311,-16203,2416,165
101,-20092,-15421,5532,167
102,6560,6385,15090,168
103,15034,13011,9956,169
104,-4007,-3970,15898,170
105,-22466,-16059,3250,171
106,-6093,-5950,15265,172
107,25536,16383,198,174
108,1499,1496,16315,175
109,24247,16315,1490,176
110,18570,14845,6936,177
111,-25145,-16372,591,180
112,11361,10471,12601,181
113,9353,8856,13781,182
114,1903,1900,16270,185
115,-12002,-10956,12181,186
116,7256,7026,14798,187
117,-19994,-15387,5622,188
118,-3358,-3331,16039,189
119,-2382,-2373,16212,191
120,23359,16211,2371,193
121,19346,15153,6228,194
122,-12179,-11086,12062,196
123,30,32,16383,198
124,-16540,-13872,8721,199
125,21239,15769,4440,200
126,19071,15048,6479,201
127,-10374,-9697,13209,202
128,7152,6924,14851,204
129,5609,5497,15433,205
130,-17869,-14532,7568,207
131,13512,12031,11122,208
132,2027,2026,16256,209
133,14341,12579,10499,210
134,1562,1562,16309,212
135,-25706,-16383,29,213
136,-9051,-8597,13948,214
137,-24733,-16355,1003,215
138,22087,15976,3620,216
139,19494,15208,6090,217
140,17071,14146,8267,218
141,-9908,-9315,13474,219
142,-22754,-16112,2966,220
143,19457,15196,6126,221
144,23005,16157,2719,222
145,-21327,-15793,4355,223
146,-721,-716,16367,225
147,-22173,-15995,3533,226
148,13414,11969,11190,228
149,13683,12150,10992,229
150,-19127,-15072,6434,230
151,-1272,-1274,16336,231
152,2563,2555,16183,232
153,-12093,-11026,12122,233
154,19170,15086,6391,234
155,-3956,-3918,15908,235
156,-14834,-12890,10116,237
157,2023,2022,16256,238
158,11835,10838,12290,239
159,-15382,-13218,9676,241
160,-9691,-9136,13598,244
161,25486,16378,256,245
162,7715,7432,14601,246
163,-3186,-3167,16076,247
164,905,906,16357,248
165,-19508,-15210,6075,249
166,-14170,-12469,10627,250
167,-8334,-7976,14311,251
168,4545,4486,15757,252
169,-13891,-12286,10839,254
170,-14401,-12617,10449,255
171,-22082,-15977,3623,258
172,6748,6559,15012,259
173,-13952,-12328,10793,260
174,20868,15666,4796,261
175,18511,14821,6988,262
176,-22089,-15977,3617,264
177,-13485,-12013,11141,265
178,8698,8293,14130,266
179,-14709,-12814,10216,267
180,-18926,-14988,6614,268
181,22417,16046,3300,269
182,3657,3626,15976,270
183,-1407,-1406,16324,271
184,14650,12774,10259,273
185,15827,13476,9317,274
186,-15935,-13536,9226,275
187,-20747,-15630,4913,276
188,-3549,-3517,15999,277
189,-3934,-3892,15912,279
190,-1697,-1700,16300,281
191,11791,10798,12322,282
192,8923,8486,14015,283
193,24921,16363,814,284
194,-20670,-15608,4987,285
195,-5012,-4932,15621,286
196,-8271,-7920,14339,288
197,18616,14865,6893,289
198,-12937,-11634,11536,291
199,-15946,-13542,9214,292
200,-2645,-2633,16172,293
201,-4021,-3980,15892,294
202,-11399,-10501,12580,295
203,-12878,-11589,11575,296
204,21786,15909,3910,297
205,-2927,-2911,16123,298
206,18599,14857,6910,300
207,2590,2577,16181,301
208,-23132,-16177,2592,302
209,25699,16383,40,303
210,17296,14258,8067,306
211,24140,16305,1594,307
212,21946,15948,3752,308
213,17948,14568,7497,309
214,-17176,-14196,8172,310
215,-739,-732,16365,311
216,-14734,-12830,10196,312
217,-5094,-5009,15596,313
218,-22718,-16108,3002,314
219,-6229,-6083,15219,316
220,24980,16368,748,317
221,-12085,-11014,12125,319
222,14622,12758,10279,321
223,-2316,-2309,16222,322
224,-3963,-3924,15908,324
225,23539,16236,2192,325
226,25500,16383,230,326
227,2870,2857,16132,327
228,11242,10377,12678,328
229,-17768,-14484,7656,330
230,-10464,-9767,13154,331
231,24125,16303,1610,332
232,4076,4036,15878,334
233,2172,2168,16240,335
234,12764,11511,11658,336
235,-22794,-16120,2926,337
236,4333,4282,15813,338
237,147,144,16383,339
238,18155,14661,7312,340
239,-17633,-14422,7776,341
240,23717,16256,2020,342
241,-21612,-15870,4083,343
242,-16171,-13666,9029,344
243,4892,4816,15660,345
244,9019,8566,13967,347
245,-13630,-12109,11031,349
246,-19565,-15234,6026,350
247,20089,15421,5533,351
248,-13063,-11722,11446,352
249,4865,4794,15666,353
250,6145,5997,15246,354
251,-4158,-4110,15856,359
252,4307,4256,15822,364
253,1173,1174,16342,366
254,22375,16036,3342,368
255,-15222,-13123,9806,371
256,11128,10291,12748,372
257,-13450,-11989,11167,373
258,-5364,-5272,15517,375
259,8837,8412,14059,377
260,-10295,-9629,13251,378
261,-9462,-8948,13727,379
262,12964,11654,11515,380
263,-22002,-15960,3701,381
264,-2147,-2146,16247,383
265,25656,16383,78,384
266,25535,16383,200,386
267,-21965,-15952,3739,387
268,-14764,-12844,10168,388
269,-12086,-11014,12123,394
270,22301,16022,3412,395
271,19604,15248,5989,396
272,19522,15222,6061,397
273,-6716,-6528,15027,398
274,-17616,-14412,7790,400
275,17178,14202,8171,402
276,10477,9777,13145,403
277,5748,5633,15383,405
278,25079,16370,656,408
279,7925,7619,14504,409
280,-25333,-16376,403,410
281,16322,13749,8908,411
282,-10326,-9659,13237,412
283,8410,8045,14270,413
284,22593,16083,3123,414
285,-18824,-14949,6708,416
286,-19795,-15317,5810,417
287,-20227,-15465,5404,419
288,2740,2729,16155,420
289,-11718,-10742,12371,421
290,5396,5301,15500,422
291,11201,10347,12702,424
292,-15256,-13143,9778,425
293,6909,6703,14949,427
294,-12148,-11062,12082,428
295,-590,-588,16373,429
296,20863,15664,4800,430
297,17815,14504,7617,433
298,-20985,-15699,4687,434
299,-3934,-3892,15912,435
300,-11495,-10575,12516,436
301,-25553,-16383,183,437
302,13955,12330,10790,438
303,7057,6835,14891,439
304,-12253,-11142,12012,441
305,12417,11263,11901,442
306,2660,2653,16167,444
307,-3722,-3689,15961,445
308,-25238,-16376,497,447
309,-21863,-15925,3837,449
310,19719,15292,5879,450
311,20791,15644,4868,451
312,2347,2341,16215,452
313,17222,14222,8131,454
314,4247,4200,15836,456
315,-18113,-14643,7351,457
316,-19176,-15090,6386,458
317,-9869,-9287,13502,459
318,20536,15567,5111,460
319,15242,13133,9791,461
320,18566,14845,6938,462
321,20533,15567,5113,464
